paradigm,model,accuracy,precision,recall,f1,roc_auc,pr_auc
nt,xgboost,0.76875,0.7721518987341772,0.7625,0.7672955974842768,0.8507,0.8543654689618766
dnabert2,xgboost,0.75625,0.7581863979848866,0.7525,0.7553324968632371,0.8462500000000001,0.8532057755621181
nt,random_forest,0.75875,0.7660668380462725,0.745,0.7553865652724968,0.84605,0.8484436907768196
dnabert2,random_forest,0.7525,0.7790055248618785,0.705,0.7401574803149606,0.8428937500000001,0.8421071862017084
baseline,random_forest,0.7475,0.7564766839378239,0.73,0.7430025445292621,0.8373843750000001,0.8471250524056608
cnn,seq_cnn,0.75,0.7525252525252525,0.745,0.7487437185929648,0.826375,0.8370632258305786
baseline,grad_boost,0.72625,0.7439353099730458,0.69,0.7159533073929961,0.8256062500000001,0.8382611941212442
baseline,xgboost,0.73875,0.7455012853470437,0.725,0.7351077313054499,0.8241124999999999,0.8367463253960103
baseline,logreg,0.73,0.7408376963350786,0.7075,0.7237851662404092,0.82344375,0.8339026709485822
baseline,linear_svm_calibrated,0.73375,0.7403598971722365,0.72,0.7300380228136882,0.822325,0.8317956219581969
dnabert2,logreg,0.71625,0.7306666666666667,0.685,0.7070967741935484,0.78573125,0.7904911947996112
dnabert2,linear_svm_calibrated,0.69125,0.6976744186046512,0.675,0.6861499364675985,0.77013125,0.7667801364642484
nt,linear_svm_calibrated,0.67875,0.6876640419947506,0.655,0.6709346991037132,0.7294187500000001,0.748508730762015
nt,logreg,0.67,0.6847826086956522,0.63,0.65625,0.7292812499999999,0.7207850743705155
